Model,Accuracy,SOV_99,SOV_refine
model_0,0.673,0.648,0.715
model_1,0.683,0.699,0.719
model_2,0.688,0.688,0.710
model_3,0.734,0.737,0.761
model_4,0.683,0.685,0.709
model_5,0.658,0.669,0.722
model_6,0.663,0.659,0.682
model_7,0.638,0.643,0.694
model_8,0.643,0.661,0.725
model_9,0.643,0.654,0.690
model_10,0.648,0.648,0.692
model_11,0.648,0.674,0.708
model_12,0.623,0.639,0.705
model_13,0.704,0.702,0.727
model_14,0.658,0.660,0.710
model_15,0.719,0.709,0.734
model_16,0.688,0.694,0.724
model_17,0.643,0.605,0.716
model_18,0.673,0.703,0.732
model_19,0.643,0.606,0.700
